"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"HSPA8",18669.0217988466,2.59855567660747,0.0639505606931237,40.6338216341374,0,0
"A2M",37208.9176275368,2.15709076239104,0.0578302302020266,37.3004007567559,1.61673241488711e-304,1.60088843722122e-300
"ATP1A1",5253.01458709948,2.64143106441847,0.0736351691541491,35.87186795061,8.38983412689463e-282,5.53840916830071e-278
"FOS",14891.8699403915,-2.08250957712168,0.0590631739261025,-35.2590190924591,2.49581701764053e-272,1.23567900543383e-268
"SYT2",5083.65548388256,2.45977087929794,0.0778404307831485,31.6001704326443,3.67222180939178e-219,1.4544936142639e-215
"PDIA6",2712.29466535812,2.40549931149398,0.0784368153378481,30.6679879994217,1.52152639688653e-206,5.02205146065681e-203
"CCL22",1755.0006715469,2.99107361700123,0.101969477834593,29.3330286721005,3.93390545915921e-189,1.11295805304556e-185
"EEF1A1P5",10655.9207464412,1.90015550627172,0.0648884805480936,29.2834026967757,1.68739464376477e-188,4.17714544063968e-185
"EIF3L",5173.36753670846,1.97936270916927,0.0686138229886762,28.8478709238507,5.38823572436789e-183,1.18565133650424e-179
"ABHD2",1874.50236029932,2.46849916552291,0.0893021298745796,27.6421085251807,3.47216261535185e-168,6.8762708434428e-165
"PSAP",154388.941441131,1.57810268745586,0.0577577355724728,27.322793593175,2.27409616049551e-164,4.09420003295028e-161
"FLNA",4119.8335191144,2.27343346457946,0.0867848295249796,26.1962082200679,2.93535534234365e-151,4.8443147666478e-148
"CNOT1",6089.69929684388,1.68771909387997,0.064855096599723,26.0229215954508,2.7256700821933e-149,4.15224386982739e-146
"PRKDC",8578.72384527779,1.54274419152651,0.0598124223309796,25.7930398302469,1.06138874048112e-146,1.50141018689201e-143
"PECAM1",7183.89689825974,1.52098153756085,0.0593105367651034,25.6443731673619,4.88549453081468e-145,6.45015557921693e-142
"GPNMB",2325.64518630385,2.32553708532941,0.0920323641888307,25.268687877646,7.0588854115259e-141,8.73713541811619e-138
"GOLGA8A",6557.08029485294,-1.6584656781735,0.0662713895725982,-25.0253644728047,3.23826489103062e-138,3.77238811188061e-135
